S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1855,Leroy Sané,GER,FWMF,Bayern Munich,Bundesliga,26,1996,9,6,618,6.9,0.58,4.64,2.17,46.9,0.13,0.27,18.3,0.29,0,0,41.2,48.4,85,568,143.5,25.5,28.4,89.8,12.3,14.6,84.2,1.45,2.61,55.6,0.14,2.17,2.61,3.04,0,5.8,48.4,47.2,1.16,0.29,0.14,5.51,0.29,0.72,0.43,0.14,0,0,41.4,4.93,2.03,38.3,8.26,0,0.43,1.16,41.2,0.14,1.01,1.74,1.01,5.22,4.06,0.14,0.58,0.29,0,0.14,0.29,0.29,0,0,0,0,0,1.01,1.01,0.14,0.72,0.14,0,0.87,0,0.87,11.2,3.19,28.6,2.17,5.22,3.77,0.72,0,0,0.72,0,1.01,0.14,0,62.2,0.58,3.91,26.8,36.1,6.52,60.9,2.75,3.91,70.4,2.9,0.29,50.9,258.6,125.5,6.81,1.88,1.45,2.03,2.9,61.7,50.6,81.9,8.99,0.43,0,0,1.01,0.87,0.14,0.72,1.01,0,0,0,7.83,0.43,0.58,42.9
1856,Nicola Sansone,ITA,FW,Bologna,Serie A,31,1991,6,3,232,2.6,0,3.85,0.77,20,0,0,21.2,0.38,0,0,19.6,25.4,77.3,300.8,60.4,8.08,9.23,87.5,8.46,10.4,81.5,1.15,1.92,60,0,0.77,1.15,0.38,0,0.77,25.4,23.5,1.92,0,0,4.62,0.77,0.38,1.92,1.54,0,0,19.2,2.31,3.85,1.54,23.1,0.38,0,0.38,19.6,0.38,0.77,0.77,2.31,3.85,1.15,0.77,0.38,0,1.15,0.38,1.15,0,0,0,0,0.77,0.38,0.38,0.38,0.38,0,0,0.38,0.38,100,0,13.1,4.23,32.4,3.08,4.62,5.38,0.38,0,0,0.38,0.77,1.15,0.38,0,39.6,0.38,3.08,18.5,21.9,4.62,37.3,0.77,2.31,33.3,1.15,0,31.9,179.6,113.8,8.08,2.69,1.54,4.62,1.92,46.2,32.7,70.8,7.69,0.38,0,0,2.31,2.31,0.38,0.38,0.38,0.77,0,0,2.31,0,1.92,0
1857,Baptiste Santamaria,FRA,MF,Rennes,Ligue 1,27,1995,7,7,551,6.1,0.16,1.15,0.82,71.4,0.14,0.2,18.8,0,0,0,67,75.6,88.7,1444.4,303.1,23.3,26.4,88.2,29,31.6,91.7,13.4,15.4,87.2,0,0.98,8.03,0.66,0,6.56,75.6,73.9,1.64,1.64,0.16,7.38,3.77,0.16,0,0,0,0,55.6,6.89,13.1,2.79,66.4,3.93,0,0,67,0,0.33,1.15,0.82,2.79,2.62,0,0,0.16,0,0,0,0,0,0,0,0,0,2.95,2.13,0.66,2.3,0,0.66,2.62,25,1.97,11.3,3.77,33.3,3.28,6.72,1.31,1.15,0.33,0,0.82,1.31,4.26,1.15,0,86.2,1.31,17.2,61.6,13.4,0.82,84.6,0.66,0.98,66.7,0.66,0,57.4,271.8,141.5,4.75,1.15,0,0.49,1.31,64.4,61.8,95.9,2.13,0.33,0,0,1.64,0.82,0,0.16,2.13,0,0,0,14.3,3.28,1.31,71.4
1858,Riccardo Saponara,ITA,FW,Fiorentina,Serie A,30,1991,7,3,292,3.2,0,2.5,0.94,37.5,0,0,21.6,0,0,0,25.9,33.8,76.9,473.8,95.9,13.1,15.9,82.4,8.44,10.9,77.1,3.75,5,75,0.31,0.94,1.25,1.25,0.63,1.56,33.8,33.4,0.31,0,0,6.25,1.88,2.19,0,0,0,0,24.4,4.69,4.69,6.88,25.9,0.31,0.31,0.31,25.9,0,0,0.94,1.56,1.88,1.88,0,0,0,0,0,0.31,0.31,0,0,0,0,0,0.31,0.31,0,0,0.31,0,0.31,0,0.31,4.06,1.25,30.8,0.94,1.25,1.88,0.63,0,0,0.63,0.31,0.63,0.31,0,44.4,1.25,5,17.8,25.6,3.44,44.1,1.25,3.13,40,1.56,0.63,39.1,277.2,177.5,10,2.81,1.25,1.25,0.94,41.3,36.9,89.4,4.38,0,0,0,0.31,1.56,0,2.19,0.31,0,0,0,5,0,0.94,0
1859,Pablo Sarabia,ESP,FWMF,Paris S-G,Ligue 1,30,1992,7,3,259,2.9,0,0.69,0,0,0,0,9.3,0,0,0,33.4,41.4,80.8,525.2,149.7,18.3,20.3,89.8,11,12.8,86.5,3.1,4.83,64.3,0,2.41,1.72,1.72,0,2.76,41.4,38.6,2.76,0.34,0.34,5.17,0.69,0.69,2.41,1.38,0.69,0,32.4,4.14,4.83,35.2,5.52,0,0,0.69,33.4,0,0.69,1.03,2.41,4.48,2.41,1.72,0,0,0.34,0,0.34,0.34,0,0,0,0,0,1.03,0.34,0.69,0,0.34,0,1.38,0,1.38,20,4.14,20.7,5.52,6.55,7.93,2.07,0.34,0,1.72,0.34,1.38,0.34,0,53.1,0.34,11.4,25.2,20.7,4.14,50.3,0.69,1.72,40,1.03,0,41,173.8,92.4,6.21,3.1,0,2.76,2.41,51.7,42.1,81.3,8.62,0.34,0,0,1.38,1.38,0.69,0.69,0.34,0,0,0,4.83,0,0.34,0
1860,Muhammed Saracevic Cham,AUT,MFFW,Clermont Foot,Ligue 1,22,2000,9,8,610,6.8,0.44,1.76,0.74,41.7,0.25,0.6,19,0.15,0,0,36.2,45.3,79.9,613.5,149.9,19.6,22.1,88.7,11.8,13.8,85.1,4.12,7.5,54.9,0.15,1.32,2.79,2.06,0.15,4.56,45.3,40.7,4.56,1.91,0.29,6.03,1.32,1.47,2.06,1.32,0.44,0,33.8,4.56,6.91,39.1,3.97,0.88,0.44,0.44,36.2,0.44,0.44,1.47,1.76,2.5,1.62,0.59,0,0.15,0.15,0,0.29,0.29,0,0,0,0,0,1.32,0.74,0.44,0.29,0.59,0.15,1.18,12.5,1.03,16.5,4.26,25.9,4.12,7.06,5.29,0.74,0,0,0.74,0.29,1.62,0.15,0,57.1,0.59,8.09,31,23.8,2.35,52.8,0.88,2.06,42.9,1.03,0.29,43.8,212.5,119.7,5.29,2.06,0.59,1.47,2.79,49.6,43.1,86.9,4.12,0,0,0,1.32,2.5,0,1.47,0.74,0,0,0,6.18,0.44,0.15,75
1861,Malang Sarr,FRA,DF,Monaco,Ligue 1,23,1999,5,2,198,2.2,0,0,0,0,0,0,0,0,0,0,40.5,45.5,89,846.8,259.1,12.7,13.6,93.3,20.5,20.9,97.8,6.82,9.09,75,0,0,3.18,0,0,2.73,45.5,44.1,1.36,0.91,0,5.45,0.91,0,0,0,0,0,35.9,3.18,6.36,36.4,5.91,1.36,0.45,0.45,40.5,0.45,0,0.45,1.82,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.91,0,0,0,0.91,0,0.91,6.82,2.73,40,4.55,1.82,0.45,1.82,0.91,0,0.91,2.73,3.64,6.82,0,56.4,10.5,27.3,28.6,2.27,0,55,0,0,0,0,0,32.7,178.2,95,2.27,0.45,0,0,0,32.7,32.3,98.6,0,0,0,0,0.45,0.91,0,0,0,0,0,0,8.64,1.82,0.91,66.7
1862,Martin Satriano,URU,FW,Empoli,Serie A,21,2001,8,6,500,5.6,0.18,2.68,0.54,20,0.07,0.33,16.5,0,0,0,14.6,19.5,75.2,223,39.5,9.11,10.2,89.5,4.46,6.79,65.8,0.89,1.25,71.4,0,0.71,0.71,0.71,0.36,0.89,19.5,18.2,1.25,0,0,6.96,0.54,1.07,0,0,0,0,12.3,3.75,3.39,1.96,14.5,0.54,0.18,0.71,14.6,0,0.18,0.54,0.36,1.79,1.43,0,0.18,0,0.18,0,0,0,0,0,0,0,0,0.89,0.54,0.36,0.54,0,0.18,0.89,20,0.71,15,5.36,35.7,2.14,6.79,6.07,0.89,0,0,0.89,0.36,1.25,0.89,0,33,1.07,3.39,15.7,16.3,4.11,31.8,0.89,2.14,41.7,1.25,0.18,20.9,98.8,49.1,2.5,1.07,0.71,2.68,3.04,41.1,24.3,59.1,5.71,0.18,0,0,1.07,0.71,0,1.07,0.54,0,0,0,3.57,2.5,5.89,29.8
1863,Téji Savanier,FRA,MF,Montpellier,Ligue 1,30,1991,6,6,516,5.7,0.53,2.11,0.88,41.7,0.17,0.4,29.8,0.53,0.18,0.18,52.3,70.7,73.9,1097.2,386.7,21.2,23.3,91,17.4,21.9,79.2,12.5,22.8,54.6,0.18,2.98,6.49,2.46,0.53,7.19,70.7,60.9,9.82,3.33,0,7.37,4.39,2.98,5.61,2.28,1.93,1.05,42.3,6.14,22.3,6.32,61.4,1.75,0.7,0.18,52.3,0.18,1.58,3.33,1.05,4.91,2.63,1.75,0.35,0,0.18,0,0.53,0.18,0.35,0,0,0,0,2.46,1.75,1.05,0.88,0.53,1.75,3.16,55.6,1.4,13.7,3.16,23.1,4.04,7.19,2.46,0.88,0.18,0,0.7,0.88,3.33,0.88,0,84.4,2.81,12.6,49.3,27.5,0.7,74.6,2.28,2.98,76.5,2.63,0,58.9,302.6,161.8,6.67,1.75,0,1.93,2.28,65.8,60.7,92.3,4.04,0.18,0.18,0,1.4,3.16,0,2.98,1.75,0,0,0,7.37,0.53,1.23,30
1864,Stefan Savi?,MNE,DF,Atlético Madrid,La Liga,31,1991,4,4,345,3.8,0,0,0,0,0,0,0,0,0,0,40.3,46.3,86.9,897.1,303.4,10.3,11.1,92.9,20.5,22.6,90.7,9.21,11.6,79.5,0,0,1.58,0,0,2.89,46.3,45.3,1.05,0.79,0,3.95,0.79,0.26,0,0,0,0,37.1,2.11,7.11,2.37,40.5,2.37,0.26,0,40.3,1.05,1.32,1.05,0.79,0.53,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.32,1.58,0,0.26,1.32,1.84,71.4,0.53,6.58,2.11,32,2.89,2.89,0.79,1.58,0.53,0,1.05,0.79,2.63,3.95,0,54.7,10.5,29.7,25,1.58,0,53.7,0,0,0,0,0,32.4,152.4,74.2,1.32,0.26,0,0,0.26,37.9,37.9,100,0.26,0.26,0,0,1.32,0.26,0,0.26,1.32,0,0,0,6.58,2.63,1.32,66.7
1865,Joe Scally,USA,DF,M'Gladbach,Bundesliga,19,2002,8,8,690,7.7,0,0.52,0.26,50,0,0,13.4,0,0,0,36.6,45.3,80.8,614.2,152.9,19.6,21.4,91.5,13.9,16.1,86.3,2.99,6.36,46.9,0,0.52,0.91,0.65,0.52,1.95,45.3,37.5,7.79,0.65,0,4.68,0.26,1.43,0,0,0,0,29.6,9.48,6.23,5.06,31.3,1.3,7.14,0.26,36.6,0,0.52,1.17,1.43,1.17,0.91,0,0.13,0.13,0,0,0,0,0,0,0,0,0,1.17,0.91,1.17,0,0,0.65,1.17,55.6,0.52,8.05,2.34,29,4.16,2.21,1.69,1.3,0.26,0,1.04,1.04,2.21,2.34,0,53.4,4.16,17.3,23.4,15.6,1.56,45.7,0.26,1.04,25,0.26,0,31.7,131.9,57.8,1.69,0.91,0.13,0.65,0.26,34.9,31.9,91.4,1.95,0.13,0,0,0.39,1.69,0.13,1.43,0.91,0,0,0,7.27,1.3,0.26,83.3
1866,Giorgio Scalvini,ITA,DFMF,Atalanta,Serie A,18,2003,5,2,192,2.1,0.48,0.95,0.95,100,0.5,0.5,18.1,0,0,0,26.7,38.6,69.1,578.1,281.9,11.9,15.7,75.8,10.5,11.4,91.7,4.29,10.5,40.9,0,0,1.9,1.43,0.48,1.9,38.6,37.1,1.43,0.95,0,6.67,3.33,0.48,0,0,0,0,23.3,3.33,11.9,5.24,28.6,3.81,0,0.48,26.7,0,1.9,1.9,0.95,0.48,0,0,0.48,0,0,0,0,0,0,0,0,0,0,2.86,1.43,0.95,0.48,1.43,1.9,3.81,50,1.9,17.1,5.71,33.3,5.24,8.1,3.81,2.86,0.95,0,1.9,1.9,4.76,3.81,0,52.4,5.71,20,21.4,11.4,0.48,51,0.95,0.95,100,0.95,0,29,96.2,41,1.9,0,0,1.43,0,28.6,25.7,90,1.9,0.95,0,0,3.33,0.48,0,0.48,1.43,0,0,0,11.9,1.43,2.38,37.5
1867,Gianluca Scamacca,ITA,FW,West Ham,Premier League,23,1999,6,2,236,2.6,0.38,1.54,0.77,50,0.25,0.5,22.5,0.38,0,0,13.1,19.2,68,242.7,42.3,6.15,8.08,76.2,3.85,6.92,55.6,2.31,2.69,85.7,0,1.15,1.15,0.38,0,1.54,19.2,19.2,0,0,0,6.92,1.15,0,0,0,0,0,6.54,8.08,4.62,0.38,13.5,1.92,0,0.38,13.1,0.38,0.77,0.77,0.77,1.54,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.54,15.4,0.77,4.62,4.62,0,0,0,0,0.38,0.38,0.77,0,26.5,0.77,1.54,15.8,11.2,3.85,26.2,1.15,1.15,100,1.15,0,16.5,99.2,60,3.46,1.15,0.77,1.54,1.15,34.2,20,58.4,3.85,0.38,0,0,1.92,1.54,0.77,0,0,0,0,0,3.46,3.08,2.31,57.1
1868,Kevin Schade,GER,FW,Freiburg,Bundesliga,20,2001,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,20,42,47.6,226,102,14,20,70,4,10,40,0,2,0,0,0,0,2,0,4,42,42,0,0,0,16,0,4,0,0,0,0,18,12,12,2,20,4,0,2,20,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,2,0,2,2,100,0,18,6,33.3,6,10,2,2,0,0,2,0,6,2,0,74,2,8,32,40,6,74,2,10,20,4,0,42,146,70,4,0,0,8,2,82,54,65.9,8,0,0,0,4,2,0,4,4,0,0,0,8,18,8,69.2
1869,András Schäfer,HUN,MF,Union Berlin,Bundesliga,23,1999,7,4,404,4.5,0,0.67,0,0,0,0,21.5,0,0,0,20.9,28.7,72.9,366.7,76.9,8.89,12,74.1,9.78,11.8,83,1.56,3.11,50,0,0.44,2.44,0.22,0.22,2.89,28.7,28,0.67,0,0,6.44,0.44,0.67,0,0,0,0,19.3,2.89,6.44,4,20.7,2.67,0,0.22,20.9,0,0.89,0.44,0.89,1.56,1.33,0,0,0,0.22,0,0.22,0,0,0,0,0.22,0,2.44,1.56,0.44,2,0,0.22,1.33,16.7,1.11,22,5.33,24.2,5.78,12,4.22,1.56,0.22,0,1.33,1.11,3.56,0.67,0,42.9,2,9.11,22.9,13.8,2.67,42.2,0.67,3.11,21.4,0.67,0.44,29.6,140.2,59.1,3.33,1.78,0.44,2.89,1.11,31.1,26.2,84.3,2.89,0,0,0,1.56,2.44,0,0.67,1.56,0,0,0,8.89,1.11,2.89,27.8
1870,Fabian Schär,SUI,DF,Newcastle Utd,Premier League,30,1991,8,8,712,7.9,0.13,1.39,0.25,18.2,0.09,0.5,20,0.13,0,0,40.1,51.8,77.5,892,342.7,13.5,15.2,89.2,18.9,22,85.6,7.72,14.3,54,0,0.51,5.06,0.63,0,4.3,51.8,50,1.77,1.77,0.13,5.82,2.03,0.38,0,0,0,0,33.5,3.8,14.4,5.95,40.9,2.03,0,0,40.1,0,0.89,1.9,0.38,1.01,1.01,0,0,0,0,0,0.13,0.13,0,0,0,0,0,1.14,0.63,0.76,0.38,0,0.63,0.89,71.4,0.25,4.68,1.65,35.1,2.28,1.9,0.51,2.41,1.27,0,1.14,2.53,3.67,4.56,0,63.4,10,32,29.1,6.33,1.9,61.5,0,0,0,0,0,36.7,214.4,129.2,3.8,0.76,0,0.13,0.25,39.6,38.2,96.5,0.51,0.38,0,0,1.01,1.14,0.13,0.38,0.63,0,0,0,11.6,3.67,1.52,70.7
1871,Derry Scherhant,GER,FW,Hertha BSC,Bundesliga,19,2002,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,10,17.5,57.1,102.5,7.5,7.5,12.5,60,2.5,5,50,0,0,0,0,2.5,0,0,0,0,17.5,17.5,0,0,0,2.5,0,0,0,0,0,0,7.5,2.5,7.5,2.5,12.5,2.5,0,0,10,0,2.5,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.5,16.7,5,10,0,0,0,0,0,0,0,0,0,25,0,0,10,15,0,25,2.5,2.5,100,2.5,0,20,65,30,2.5,0,0,5,0,30,20,66.7,10,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
1872,Patrik Schick,CZE,FW,Leverkusen,Bundesliga,26,1996,9,9,753,8.4,0.24,3.33,1.43,42.9,0.07,0.17,13,0.12,0,0,16.4,23.1,71.1,230.4,36.5,10.6,13.5,78.8,4.76,7.38,64.5,0.6,1.31,45.5,0,0.83,0.36,0.71,0,0.83,23.1,21.9,1.19,0,0.12,7.5,0.12,0.36,0,0,0,0,12.1,6.79,4.17,13,2.26,2.86,0.48,0.83,16.4,0,0.24,0.6,0.36,2.5,2.02,0,0.12,0.12,0.24,0,0.24,0.24,0,0,0,0,0,0.24,0,0.12,0.12,0,0,0,0,0,8.93,2.14,24,0.24,3.33,5.36,0.6,0.12,0,0.48,0.24,0.48,0.12,0,34,0.36,2.02,16.7,16.4,5,32.7,0.71,1.07,66.7,0.71,0.12,17.5,67,23.5,1.9,0.24,0.71,2.62,2.02,41.3,28.3,68.6,7.98,0,0,0,0.36,1.67,0,0.36,0,0,0,0,2.98,4.4,4.4,50
1873,Kingsley Schindler,GER,DFMF,Köln,Bundesliga,29,1993,7,3,292,3.2,0,0,0,0,0,0,0,0,0,0,35.6,52.8,67.5,745,355,11.9,16.3,73.1,17.8,21.9,81.4,5.31,11.9,44.7,0,0.94,3.13,1.56,0.31,5.94,52.8,42.8,10,0,0,6.88,0.94,1.25,0.63,0.31,0,0,26.9,7.81,18.1,4.38,31.9,5,9.38,0,35.6,0.31,2.19,1.88,3.13,2.81,2.81,0,0,0,0,0,0.31,0.31,0,0,0,0,0,3.13,1.56,1.56,1.56,0,1.88,1.88,100,0,8.75,4.06,46.4,3.13,5,0.63,1.25,0,0,1.25,0.31,3.44,2.81,0,64.7,1.88,14.1,30.6,22.2,1.88,54.7,0.31,0.94,33.3,0.63,0.31,34.4,130.9,59.7,1.25,0,0,1.56,1.88,38.1,33.8,88.5,5,0.63,0,0,0.94,1.25,0,1.25,1.56,0,0,0,12.5,2.81,2.19,56.3
1874,Xaver Schlager,AUT,MF,RB Leipzig,Bundesliga,25,1997,5,3,288,3.2,0,0.31,0,0,0,0,19,0,0,0,49.7,55.9,88.8,946.3,246.9,20.3,21.3,95.6,24.1,26.6,90.6,5.31,7.19,73.9,0,0,5.94,0,0,4.06,55.9,55,0.94,0.94,0,6.25,0.94,0,0,0,0,0,46.3,3.75,5.94,35.9,17.8,1.56,0,0,49.7,0,0.94,1.56,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,2.19,1.56,0.31,0.94,0.94,0.31,1.88,16.7,1.56,15.3,4.69,30.6,5.63,7.5,2.19,1.25,0,0,1.25,1.25,3.44,0.94,0,65.3,1.56,15.9,45.3,9.69,0,64.4,0.94,0.94,100,0.94,0,50.6,210.3,102.2,1.25,0.63,0,0.63,1.88,46.6,45,96.6,0,0,0,0,2.5,1.88,0,0,1.56,0,0,0,13.1,0.63,1.56,28.6
1875,Keven Schlotterbeck,GER,DF,Freiburg,Bundesliga,25,1997,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,10,10,100,140,90,10,10,100,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,10,10,0,10,10,0,0,0,0,60,0,80,20,60,30,0,0,80,0,0,0,0,0,10,170,160,0,0,0,0,0,10,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,100
1876,Nico Schlotterbeck,GER,DF,Dortmund,Bundesliga,22,1999,9,9,810,9,0,0.11,0.11,100,0,0,7.8,0,0,0,55.3,65.6,84.4,1275,437.2,15.6,17.3,89.7,27.4,29.8,92.2,12.1,17.6,69,0.11,0.33,4.44,0.56,0,5.22,65.6,63,2.56,2.11,0,10.3,3.67,0.44,0,0,0,0,47,5.22,13.3,51.6,8.11,3.11,0.44,0.33,55.3,0,1.44,1.11,0.67,0.78,0.78,0,0,0,0,0,0.11,0.11,0,0,0,0,0,2.44,1.33,1.22,1.22,0,0.78,1.67,46.7,0.89,6.56,2,30.5,3.78,2.33,0.44,1.78,0.78,0,1,1.89,4.33,3.33,0,75.8,8.56,40.4,37.9,3.44,0.89,73.3,0.56,0.89,62.5,0.67,0.11,48.3,278.7,160.6,4,1,0.11,0.33,0.11,49.6,49.4,99.8,0.33,0.22,0,0,1.11,0.67,0,0.44,1.33,0,0,0,12.9,3.22,1.44,69
1877,Jeffrey Schlupp,GHA,MF,Crystal Palace,Premier League,29,1992,7,6,525,5.8,0,1.55,0.34,22.2,0,0,18,0,0,0,21.4,28.4,75.2,406.7,92.2,8.79,11.2,78.5,9.66,11.2,86.2,2.59,4.31,60,0,0,1.21,0.34,0,1.55,28.4,27.1,1.38,0.86,0,5.17,0.69,0,0,0,0,0,20.7,3.1,4.66,20,5.86,1.55,0,0.17,21.4,0,0.86,0.86,1.21,1.03,0.52,0,0.17,0.17,0.17,0,0.17,0.17,0,0,0,0,0,2.41,1.03,0.86,1.21,0.34,0.34,1.03,33.3,0.69,15.7,4.31,27.5,4.31,8.62,2.76,1.55,0.69,0,0.86,0.86,3.28,0.69,0,39,3.45,10,20.3,10.5,1.55,37.8,0.86,1.55,55.6,0.86,0,24.3,88.8,40.7,2.24,0.34,0.34,1.38,0.69,25.7,22.6,87.9,2.41,0.17,0,0,1.9,1.38,0,0,1.03,0,0,0,8.79,1.03,1.03,50
1878,Kasper Schmeichel,DEN,GK,Nice,Ligue 1,35,1986,7,7,630,7,0,0,0,0,0,0,0,0,0,0,23.9,32.6,73.2,704.3,430.6,5,5,100,9.86,9.86,100,8.86,17.6,50.4,0,0,0.43,0,0,0,32.6,22.6,10,2.43,0,2,0.86,0,0,0,0,0,16.3,1.14,15.1,1,25.4,0,0,3.57,23.9,0.14,0.86,0.29,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0.14,0,34.1,30.1,34.1,0.14,0,0,24.1,0,0,0,0,0,15.7,69.1,29,0,0,0,0,0,15.9,15.7,99.1,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0
1879,Romano Schmid,AUT,MF,Werder Bremen,Bundesliga,22,2000,8,5,492,5.5,0,0.55,0,0,0,0,22.8,0,0,0,34.5,46.2,74.8,562.5,192.4,17.8,22.2,80.3,12.5,15.5,81.2,2.91,5.45,53.3,0.18,1.45,4.36,1.82,0.36,5.64,46.2,45.8,0.36,0.18,0,10.4,1.09,1.27,0,0,0,0,34.4,3.45,8.36,6.55,36.9,1.82,0.18,0.18,34.5,0.55,0.73,2,2.36,3.09,2.91,0,0.18,0,0,0,0.18,0.18,0,0,0,0,0,2.18,1.45,0.55,0.91,0.73,0.55,1.27,42.9,0.73,14.5,4.18,28.8,2.55,7.27,4.73,1.64,0.36,0,1.27,0.73,2.91,0.73,0,58.2,1.82,8.73,30,24,2.55,58,1.09,2.36,46.2,1.09,0.55,46.4,214.7,120,5.27,2.36,0.18,1.64,1.82,49.8,42.5,85.4,5.45,0.18,0,0,1.45,1.45,0.18,1.27,1.45,0,0,0,8.36,0.55,2.18,20
1880,Niklas Schmidt,GER,MF,Werder Bremen,Bundesliga,24,1998,5,1,166,1.8,0.56,2.78,1.67,60,0.2,0.33,18.6,0.56,0,0,34.4,47.8,72.1,713.9,199.4,15.6,20,77.8,10,14.4,69.2,7.78,10,77.8,0,0.56,4.44,1.67,0,7.22,47.8,46.1,1.67,1.11,0,11.1,2.78,1.11,0,0,0,0,31.1,6.67,10,2.22,42.8,0.56,0.56,0,34.4,0,0.56,1.11,2.22,2.78,2.78,0,0,0,0,0,0.56,0.56,0,0,0,0,0,0.56,0.56,0.56,0,0,0,1.67,0,1.67,9.44,2.22,23.5,3.89,3.89,1.67,2.78,0,0,2.78,0.56,1.11,0.56,0,57.8,0,11.1,28.9,21.7,3.33,56.1,2.78,3.33,83.3,2.78,0.56,40.6,185,75,3.33,0.56,1.11,1.11,1.11,44.4,39.4,88.8,6.11,0,0,0,0.56,1.11,0,1.11,0.56,0,0,0,11.1,1.67,0.56,75
1881,Benno Schmitz,GER,DF,Köln,Bundesliga,27,1994,7,6,504,5.6,0,0.36,0,0,0,0,15,0,0,0,42.3,63.9,66.2,840.9,353.6,11.8,15.2,77.6,24.6,32.1,76.7,5.18,13.2,39.2,0,0.89,3.57,2.14,0.89,5.18,63.9,52.1,11.8,0.36,0,5.89,0.89,3.39,0,0,0,0,32.5,12.9,18.6,5.36,43.2,3.21,11.4,0,42.3,0.71,1.43,4.82,2.68,2.5,1.96,0.36,0,0,0.18,0,0,0,0,0,0,0,0,3.39,1.79,1.61,1.25,0.54,1.61,3.21,50,1.61,14.8,6.61,44.6,6.25,6.61,1.96,1.61,0.18,0,1.43,2.86,6.25,2.32,0,75,3.39,18.9,33.6,25.9,0.89,63.4,0.36,0.36,100,0.36,0,43,187.1,110.5,6.07,1.43,0.18,0.71,0.54,43.6,42,96.3,3.21,0,0,0,1.25,1.07,0,3.39,1.79,0,0,0.36,10,1.25,1.43,46.7
1882,Jerdy Schouten,NED,MF,Bologna,Serie A,25,1997,9,9,759,8.4,0,0.24,0,0,0,0,25.1,0,0,0,34.9,41.4,84.2,668.5,187.9,12.6,14.2,89.1,17.5,20.1,87,4.4,5.95,74,0,0.6,3.81,0.12,0,3.69,41.4,40.8,0.6,0.6,0,5.48,0.71,0.12,0,0,0,0,31.9,4.05,5.48,5.71,32.9,1.9,0,0.36,34.9,0.12,0.6,1.19,0.83,1.9,1.9,0,0,0,0,0,0.12,0.12,0,0,0,0,0,1.43,1.07,0.71,0.6,0.12,0.36,1.07,33.3,0.71,12.1,3.93,32.4,4.4,6.79,0.95,2.38,1.31,0,1.07,2.98,4.4,2.86,0,53.1,5.48,17.6,30.2,6.9,0.48,52.9,0.71,1.07,66.7,0.71,0,31.4,134.9,63.2,2.02,0.36,0.12,0.48,0.71,34.2,32.3,94.4,1.07,0.12,0,0,1.07,1.31,0.12,0.12,1.07,0,0,0.12,9.05,0.83,1.07,43.8
