,S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1613,1614,Pedri,ESP,MF,Barcelona,La Liga,19,2002,7,5,461,5.1,0.2,0.98,0.2,20.0,0.2,1.0,22.8,0.0,0.0,0.0,62.4,68.2,91.4,1350.8,293.1,23.5,25.5,92.3,22.9,24.9,92.1,14.1,15.7,90.0,0.0,2.94,7.84,1.76,0.0,7.06,68.2,65.5,2.75,1.37,0.39,5.49,5.1,0.2,0.0,0.0,0.0,0.0,55.7,3.53,9.02,10.2,56.5,0.59,0.59,0.2,62.4,0.0,0.39,2.55,0.39,5.88,5.88,0.0,0.0,0.0,0.0,0.0,1.18,1.18,0.0,0.0,0.0,0.0,0.0,1.18,0.98,0.39,0.39,0.39,0.2,2.35,8.3,2.16,17.3,4.51,26.1,3.33,8.43,5.49,1.18,0.0,0.0,1.18,1.37,2.55,0.78,0.0,77.5,1.18,7.84,48.0,28.6,2.16,74.7,0.78,1.37,57.1,0.78,0.0,61.8,342.5,197.3,11.4,3.53,0.2,0.78,0.98,66.1,62.7,95.0,2.75,0.0,0.0,0.0,0.59,1.18,0.2,0.2,0.98,0.0,0.0,0.0,6.47,0.2,0.78,20.0
1620,1621,Rubén Peña,ESP,DFMF,Osasuna,La Liga,31,1991,6,3,311,3.5,0.0,1.14,0.57,50.0,0.0,0.0,13.6,0.0,0.0,0.0,28.6,36.9,77.5,558.9,222.3,12.6,14.9,84.6,12.3,14.6,84.3,3.71,6.57,56.5,0.29,1.14,1.71,1.71,1.14,3.71,36.9,30.6,6.29,0.57,0.0,5.43,1.14,2.0,0.0,0.0,0.0,0.0,20.6,5.71,10.6,4.86,23.1,2.0,5.71,0.0,28.6,0.29,0.57,1.14,0.86,1.71,1.14,0.0,0.57,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.57,0.29,0.29,0.29,0.0,0.0,0.29,0.0,0.29,16.0,2.86,17.9,6.0,7.71,2.29,2.57,1.14,0.0,1.43,2.29,2.86,2.86,0.0,50.0,2.57,12.3,26.0,16.0,2.29,43.7,1.71,2.86,60.0,1.71,0.0,27.1,161.7,99.4,4.86,0.86,0.29,1.14,1.14,29.7,25.4,85.6,2.0,0.29,0.29,0.0,3.43,0.57,0.0,2.0,0.29,0.0,0.0,0.0,9.14,2.57,2.86,47.4
1625,1626,Alberto Perea,ESP,MF,Cádiz,La Liga,31,1990,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,84.6,262.0,88.0,16.0,18.0,88.9,6.0,6.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,26.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,4.0,4.0,18.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,10.0,4.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,44.0,4.0,20.0,12.0,16.0,0.0,44.0,2.0,8.0,25.0,2.0,0.0,28.0,48.0,20.0,2.0,0.0,0.0,0.0,2.0,30.0,24.0,80.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0
1633,1634,Carles Pérez,ESP,FWMF,Celta Vigo,La Liga,24,1998,7,4,316,3.5,0.0,1.71,0.29,16.7,0.0,0.0,18.5,0.0,0.0,0.0,20.3,22.9,88.8,359.1,63.7,9.14,10.6,86.5,8.29,8.57,96.7,2.29,3.14,72.7,0.29,0.57,0.29,0.29,0.0,1.71,22.9,22.0,0.86,0.0,0.0,2.86,0.86,0.86,0.57,0.57,0.0,0.0,18.6,2.0,2.29,19.1,3.14,0.57,0.0,0.0,20.3,0.0,0.29,0.0,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,2.0,0.86,0.57,0.86,0.57,0.86,3.71,23.1,2.86,23.7,4.86,20.5,4.57,9.43,9.71,1.43,0.57,0.0,0.86,0.57,2.57,0.57,0.0,37.1,1.14,5.14,15.1,21.1,3.43,36.3,0.86,1.71,50.0,0.86,0.0,24.0,136.0,68.9,3.14,1.43,0.57,3.71,2.57,42.3,26.0,61.5,5.14,0.0,0.0,0.0,2.57,0.57,0.57,0.86,0.86,0.0,0.0,0.0,4.86,0.0,4.29,0.0
1634,1635,Francisco Perez,ESP,DFFW,Valencia,La Liga,20,2002,1,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,77.8,660.0,45.0,10.0,10.0,100.0,25.0,30.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0,10.0,5.0,10.0,25.0,0.0,5.0,0.0,35.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,5.0,25.0,35.0,0.0,55.0,10.0,10.0,100.0,10.0,0.0,60.0,275.0,125.0,5.0,0.0,0.0,0.0,10.0,55.0,50.0,90.9,0.0,5.0,0.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,100.0
1635,1636,Kike Pérez,ESP,MF,Valladolid,La Liga,25,1997,7,6,560,6.2,0.0,2.1,0.97,46.2,0.0,0.0,22.2,0.16,0.0,0.0,37.7,49.5,76.2,757.7,172.9,15.6,18.1,86.6,14.7,17.4,84.3,6.77,11.9,56.8,0.16,1.13,3.55,0.97,0.32,3.39,49.5,44.2,5.32,2.58,0.16,5.81,3.39,2.1,1.45,0.65,0.48,0.16,34.2,6.29,9.03,38.1,7.74,1.45,1.29,0.0,37.7,0.65,1.45,0.65,1.13,3.23,2.58,0.16,0.0,0.48,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,1.77,0.97,0.81,0.65,0.32,0.81,3.06,26.3,2.26,16.0,4.52,28.3,6.29,7.1,2.58,2.1,0.32,0.0,1.77,0.97,2.74,1.29,0.0,62.3,3.39,13.9,32.3,20.8,2.9,57.3,1.13,1.61,70.0,1.13,0.16,40.2,246.1,136.1,5.97,1.77,0.65,1.29,1.45,46.6,42.7,91.7,2.42,0.32,0.0,0.0,2.74,2.42,0.32,2.1,0.97,0.0,0.0,0.0,7.42,1.29,1.61,44.4
1636,1637,Lucas Pérez,ESP,FW,Cádiz,La Liga,34,1988,7,4,396,4.4,0.0,1.59,0.0,0.0,0.0,0.0,17.4,0.45,0.0,0.0,16.8,25.9,64.9,302.5,80.7,7.73,9.55,81.0,5.91,7.05,83.9,2.73,7.95,34.3,0.0,0.45,0.23,1.36,0.68,1.36,25.9,19.5,6.36,2.05,0.0,2.27,2.27,3.18,2.95,1.82,0.91,0.0,16.6,1.59,7.73,22.5,2.95,0.45,0.0,0.0,16.8,0.45,1.36,1.14,0.91,1.14,0.91,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.0,0.0,0.23,0.45,50.0,0.23,13.2,2.95,22.4,0.23,6.59,6.36,0.68,0.0,0.0,0.68,0.91,1.36,0.45,0.0,35.0,0.91,3.41,14.8,18.6,1.14,28.2,0.23,0.68,33.3,0.23,0.0,20.5,86.6,32.3,1.59,0.91,0.23,2.27,1.36,32.3,20.0,62.0,3.18,0.45,0.0,0.0,0.68,0.68,1.59,3.18,0.45,0.0,0.0,0.0,3.86,0.0,3.41,0.0
1637,1638,Luis Pérez,ESP,DF,Valladolid,La Liga,27,1995,5,5,387,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,37.9,79.8,484.9,169.8,15.6,17.9,87.0,12.3,14.2,86.9,1.63,4.19,38.9,0.0,0.7,0.93,0.7,0.47,1.86,37.9,30.2,7.67,1.16,0.0,2.33,0.7,2.33,0.0,0.0,0.0,0.0,21.2,8.37,8.37,0.23,28.1,2.79,6.51,0.0,30.2,0.23,0.93,0.93,1.16,1.4,1.16,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,1.86,2.09,0.93,0.23,1.16,2.56,45.5,1.4,13.0,4.42,33.9,6.05,5.12,1.86,1.4,0.7,0.0,0.7,1.16,4.42,1.63,0.0,47.9,2.33,17.4,19.5,14.2,0.47,40.5,0.0,0.47,0.0,0.23,0.0,24.2,107.9,55.6,2.33,1.63,0.0,1.16,1.16,30.0,25.1,83.7,1.63,0.23,0.0,0.0,1.16,0.7,0.0,2.33,1.86,0.0,0.0,0.0,6.98,0.47,2.33,16.7
1648,1649,Germán Pezzella,ARG,DF,Betis,La Liga,31,1991,6,5,490,5.4,0.0,0.37,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,46.1,52.2,88.3,974.4,329.4,12.8,13.1,97.2,25.6,27.4,93.2,7.41,10.7,69.0,0.0,0.19,1.48,0.19,0.0,1.67,52.2,50.6,1.67,1.67,0.0,2.41,0.93,0.19,0.0,0.0,0.0,0.0,41.7,2.22,8.33,9.07,40.2,1.85,0.0,0.0,46.1,0.0,1.11,0.74,0.74,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.56,0.93,0.19,0.0,0.56,0.74,75.0,0.19,6.3,2.41,38.2,4.07,2.04,0.19,1.3,0.56,0.19,0.74,2.41,3.52,4.07,0.0,61.9,8.7,37.8,25.0,1.85,1.11,60.2,0.0,0.19,0.0,0.0,0.0,39.6,171.9,67.0,0.93,0.0,0.0,0.0,0.37,43.3,43.0,99.1,0.19,0.37,0.19,0.0,0.93,0.93,0.0,0.19,0.56,0.0,0.0,0.0,7.41,1.85,1.11,62.5
1662,1663,Yeremi Pino,ESP,MF,Villarreal,La Liga,19,2002,6,5,343,3.8,0.26,1.84,0.53,28.6,0.14,0.5,14.9,0.0,0.0,0.0,25.8,34.5,74.8,351.6,84.2,17.9,20.3,88.3,6.84,10.0,68.4,0.79,2.63,30.0,0.26,0.79,0.53,1.32,0.53,2.37,34.5,33.9,0.53,0.0,0.0,5.53,0.26,1.84,0.0,0.0,0.0,0.0,25.3,5.79,3.42,3.16,27.9,1.58,0.53,0.26,25.8,0.53,0.53,1.58,1.58,1.58,1.05,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.05,1.32,0.79,0.26,1.05,3.16,33.3,2.11,16.3,4.47,27.4,3.95,7.63,4.74,2.11,0.26,0.0,1.84,0.53,2.89,0.26,0.0,47.1,1.05,7.37,21.6,20.5,3.95,46.6,2.11,2.37,88.9,2.11,0.79,33.9,134.5,82.9,4.21,1.84,0.26,1.05,2.37,41.3,32.9,79.6,7.11,0.26,0.0,0.0,3.16,1.58,0.79,1.84,1.05,0.0,0.0,0.0,7.11,1.05,1.32,44.4
1663,1664,Gerard Piqué,ESP,DF,Barcelona,La Liga,35,1987,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,108.0,94.4,2423.5,620.5,23.5,25.0,94.0,55.0,56.0,98.2,23.0,25.5,90.2,0.0,0.0,16.0,0.0,0.0,7.5,108.0,104.0,4.0,2.0,0.0,9.0,8.5,0.0,0.0,0.0,0.0,0.0,93.5,4.0,10.5,8.0,95.0,0.5,0.0,0.0,102.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,2.5,62.5,0.5,3.5,0.0,1.5,0.0,0.0,1.5,0.5,1.0,6.0,0.0,116.5,14.5,44.0,81.5,2.5,0.5,112.5,0.0,0.0,0.0,0.0,0.0,89.0,635.0,446.0,16.5,0.5,0.0,0.0,0.0,93.5,93.0,99.5,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10.5,7.5,0.5,93.8
1666,1667,Óscar Plano,ESP,FWMF,Valladolid,La Liga,31,1991,7,3,345,3.8,0.26,1.84,0.26,14.3,0.14,1.0,22.0,0.0,0.0,0.0,21.8,27.6,79.0,368.2,116.6,11.3,13.7,82.7,7.11,8.68,81.8,2.63,4.47,58.8,0.0,1.32,2.11,1.05,0.26,2.89,27.6,26.8,0.79,0.0,0.26,6.05,1.32,1.32,0.26,0.0,0.26,0.0,20.5,3.16,3.95,18.9,5.26,1.58,0.0,0.26,21.8,0.0,0.79,0.53,0.0,3.16,2.89,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.26,0.0,2.63,1.32,0.26,1.05,1.32,0.79,1.84,42.9,1.05,12.1,3.68,30.4,2.37,4.74,5.0,2.11,0.53,0.0,1.58,1.05,3.68,1.05,0.0,44.7,2.37,9.21,21.3,16.1,2.11,43.9,0.0,1.05,0.0,0.0,0.26,25.3,105.0,48.7,3.68,1.05,0.0,1.84,2.63,31.8,23.9,75.2,5.53,0.0,0.0,0.0,0.79,2.89,0.26,1.32,1.32,0.26,0.0,0.0,10.3,2.11,1.32,61.5
1667,1668,Gonzalo Plata,ECU,FWMF,Valladolid,La Liga,21,2000,5,4,333,3.7,0.0,1.62,0.81,50.0,0.0,0.0,15.3,0.0,0.0,0.0,26.5,33.2,79.7,317.3,67.8,18.6,21.6,86.3,6.22,7.3,85.2,0.27,1.08,25.0,0.0,1.89,0.81,1.08,0.27,1.35,33.2,31.9,1.35,0.0,0.0,4.05,0.54,1.35,0.0,0.0,0.0,0.0,24.1,7.03,2.16,20.3,8.11,2.43,1.35,0.54,26.5,0.0,0.54,0.81,2.43,4.59,3.51,0.0,0.54,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.81,0.81,0.54,0.54,0.81,2.16,37.5,1.35,13.5,1.89,14.0,3.51,5.14,4.86,0.81,0.0,0.0,0.81,1.08,2.97,0.27,0.0,49.5,0.54,7.57,22.4,24.6,4.59,48.1,4.59,8.11,56.7,4.86,1.35,37.0,205.4,121.4,5.95,1.89,1.35,2.7,1.89,41.6,36.5,87.7,7.03,0.0,0.0,0.0,1.35,2.16,0.27,1.35,0.81,0.0,0.0,0.0,5.68,0.54,1.35,28.6
1675,1676,Ezequiel Ponce,ARG,FW,Elche,La Liga,25,1997,7,3,303,3.4,0.29,1.47,0.29,20.0,0.2,1.0,12.3,0.0,0.0,0.0,16.5,19.7,83.6,238.8,41.2,10.0,11.8,85.0,4.12,4.71,87.5,1.18,1.76,66.7,0.0,1.18,1.18,0.59,0.0,0.88,19.7,19.1,0.59,0.0,0.0,4.12,0.59,0.59,0.0,0.0,0.0,0.0,12.4,5.29,2.06,3.53,12.6,0.88,0.0,1.47,16.5,0.0,0.59,0.29,0.59,1.47,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.59,0.29,0.59,50.0,0.29,14.7,3.82,26.0,0.29,7.94,6.47,2.06,0.59,0.0,1.47,0.59,1.18,1.76,0.0,32.9,2.65,3.82,14.7,16.2,3.82,32.4,0.29,1.47,20.0,0.29,0.0,20.6,70.3,26.2,0.88,0.59,0.29,2.94,2.35,34.7,24.1,69.5,6.76,0.29,0.0,0.0,2.35,0.29,0.88,0.59,0.59,0.0,0.0,0.0,2.35,2.35,4.41,34.8
1681,1682,Francisco Portillo,ESP,FWMF,Almería,La Liga,32,1990,6,1,143,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,54.4,74.7,679.4,235.6,22.5,28.1,80.0,13.1,17.5,75.0,4.38,6.25,70.0,0.0,0.0,7.5,0.63,0.0,6.25,54.4,52.5,1.88,0.0,0.0,10.6,1.25,0.0,0.63,0.0,0.63,0.0,33.1,9.38,11.9,2.5,48.8,1.25,1.25,0.0,40.6,0.0,0.63,1.88,2.5,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.63,0.0,0.0,0.63,1.88,33.3,1.25,11.3,3.13,27.8,2.5,4.38,4.38,0.63,0.63,0.0,0.0,1.25,1.88,1.88,0.0,63.8,2.5,15.6,32.5,20.0,0.0,61.9,0.0,0.0,0.0,0.0,0.0,46.3,269.4,149.4,5.0,3.13,0.0,1.88,1.88,56.3,48.1,85.6,4.38,0.0,0.0,0.0,0.63,0.63,0.63,0.0,0.63,0.0,0.0,0.0,8.13,0.63,1.25,33.3
1682,1683,Portu,ESP,MF,Getafe,La Liga,30,1992,6,2,240,2.7,0.0,1.48,1.11,75.0,0.0,0.0,11.8,0.0,0.0,0.0,18.1,24.1,75.4,273.7,83.7,10.0,10.7,93.1,4.44,6.3,70.6,2.22,4.81,46.2,0.0,0.74,1.48,0.37,0.0,2.22,24.1,22.6,1.48,0.74,0.0,5.19,0.74,2.22,0.37,0.0,0.37,0.0,14.1,4.81,5.19,0.37,21.1,1.11,0.37,0.37,18.1,0.74,0.37,0.37,1.48,3.33,1.48,0.37,0.0,0.74,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,1.48,0.74,1.11,0.37,0.74,1.85,40.0,1.11,20.0,4.81,24.1,4.07,10.4,5.56,1.85,0.0,0.0,1.85,0.74,2.96,0.37,0.0,36.3,0.74,5.56,19.6,14.8,2.59,35.2,0.37,2.59,14.3,1.11,0.37,21.9,144.4,87.4,5.56,2.22,0.37,0.74,1.48,27.4,23.7,86.5,4.07,0.0,0.0,0.0,2.22,1.85,0.74,2.22,1.48,0.0,0.0,0.0,4.44,1.11,1.85,37.5
1686,1687,José Pozo,ESP,MFFW,Rayo Vallecano,La Liga,26,1996,4,0,24,0.3,0.0,3.33,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,46.7,60.0,77.8,823.3,320.0,26.7,26.7,100.0,10.0,23.3,42.9,10.0,10.0,100.0,0.0,6.67,6.67,10.0,0.0,16.7,60.0,50.0,10.0,10.0,0.0,10.0,0.0,6.67,0.0,0.0,0.0,0.0,43.3,6.67,10.0,6.67,53.3,0.0,0.0,0.0,46.7,0.0,3.33,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.33,11.1,3.33,20.0,6.67,0.0,0.0,0.0,0.0,0.0,3.33,6.67,0.0,96.7,3.33,10.0,43.3,46.7,13.3,90.0,0.0,3.33,0.0,0.0,0.0,80.0,423.3,120.0,13.3,0.0,3.33,10.0,3.33,76.7,70.0,91.3,20.0,0.0,0.0,0.0,6.67,16.7,0.0,6.67,3.33,0.0,0.0,0.0,10.0,6.67,3.33,66.7
1687,1688,Alejandro Pozo Pozo,ESP,DF,Almería,La Liga,23,1999,5,4,323,3.6,0.0,0.83,0.28,33.3,0.0,0.0,20.4,0.0,0.0,0.0,33.6,46.9,71.6,660.6,268.9,13.3,17.5,76.2,15.6,18.3,84.8,4.44,9.72,45.7,0.28,0.56,1.67,0.0,0.0,2.22,46.9,38.6,8.33,0.28,0.0,4.72,2.22,2.5,0.0,0.0,0.0,0.0,23.3,11.7,11.9,3.89,32.2,1.67,8.06,0.0,33.6,0.28,1.39,2.78,1.94,1.11,0.83,0.28,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.83,0.28,0.28,0.28,0.28,0.28,1.94,14.3,1.67,10.3,1.39,13.5,2.78,4.72,2.78,2.78,0.83,0.0,1.94,0.83,1.67,2.22,0.0,56.4,3.33,19.2,26.9,13.9,2.22,48.1,0.0,0.56,0.0,0.28,0.0,31.1,148.9,94.7,4.72,2.22,0.56,0.28,0.56,35.0,33.1,94.4,2.5,0.0,0.0,0.0,1.11,0.0,0.0,2.5,0.28,0.0,0.0,0.0,6.94,1.39,1.67,45.5
1689,1690,Abdón Prats,ESP,FW,Mallorca,La Liga,29,1992,6,0,59,0.7,0.0,2.86,1.43,50.0,0.0,0.0,15.2,0.0,0.0,0.0,22.9,27.1,84.2,360.0,52.9,11.4,15.7,72.7,8.57,8.57,100.0,1.43,1.43,100.0,0.0,0.0,1.43,0.0,0.0,0.0,27.1,24.3,2.86,0.0,0.0,4.29,1.43,0.0,0.0,0.0,0.0,0.0,14.3,4.29,8.57,11.4,5.71,7.14,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,1.43,6.7,4.29,7.14,10.0,1.43,0.0,0.0,1.43,0.0,0.0,2.86,0.0,45.7,1.43,4.29,24.3,20.0,2.86,42.9,0.0,0.0,0.0,0.0,0.0,24.3,88.6,28.6,2.86,1.43,1.43,2.86,5.71,41.4,31.4,75.9,11.4,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,5.71,5.71,2.86,66.7
1693,1694,Javi Puado,ESP,FWMF,Espanyol,La Liga,24,1998,6,4,343,3.8,0.0,2.37,0.26,11.1,0.0,0.0,15.8,0.0,0.0,0.0,17.6,22.6,77.9,293.2,43.9,9.47,10.8,87.8,5.26,6.32,83.3,2.37,3.42,69.2,0.0,1.05,0.26,1.05,0.0,1.58,22.6,22.6,0.0,0.0,0.0,5.53,0.53,2.11,0.0,0.0,0.0,0.0,17.1,2.89,2.63,2.89,18.4,1.05,0.0,0.0,17.6,0.0,0.26,1.58,0.53,2.11,1.58,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.53,0.0,0.0,0.0,0.79,0.0,0.79,11.1,3.42,31.0,4.21,2.37,4.47,0.79,0.0,0.0,0.79,0.53,1.05,0.53,0.0,32.6,0.79,5.26,14.2,16.1,5.53,32.6,0.53,0.79,66.7,0.53,0.0,24.7,150.5,61.6,3.16,1.05,1.32,1.84,2.37,35.8,23.9,66.9,4.47,0.0,0.0,0.0,1.05,1.84,0.26,2.11,0.53,0.0,0.0,0.0,6.05,0.53,1.84,22.2
1694,1695,Arnau Puigmal,ESP,DFMF,Almería,La Liga,21,2001,5,1,205,2.3,0.0,1.3,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,28.7,38.7,74.2,471.7,187.0,13.5,17.0,79.5,12.6,16.1,78.4,1.74,4.35,40.0,0.0,0.43,1.3,0.87,0.0,4.35,38.7,29.1,9.57,0.87,0.0,4.78,1.3,1.3,1.74,0.0,0.87,0.0,22.2,10.0,6.52,4.35,24.3,1.74,6.96,0.43,28.7,0.43,0.43,1.74,2.17,1.74,0.87,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.43,0.0,0.0,1.3,0.0,1.3,13.5,1.3,9.7,4.78,6.09,2.61,1.3,0.0,0.0,1.3,0.43,0.87,0.87,0.0,47.8,0.87,10.4,23.9,16.5,2.17,38.7,0.43,2.17,20.0,0.87,0.0,26.1,110.9,60.0,2.17,0.0,0.87,0.43,0.0,32.2,26.5,82.4,3.04,1.3,0.0,0.0,0.87,2.17,0.0,1.3,0.43,0.0,0.43,0.0,6.09,0.87,1.3,40.0
1700,1701,Domingos Quina,POR,MF,Elche,La Liga,22,1999,6,2,230,2.6,0.0,1.15,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,35.8,42.7,83.8,682.7,181.2,14.6,16.2,90.5,16.5,18.1,91.5,4.23,7.69,55.0,0.0,0.38,3.46,0.38,0.0,3.85,42.7,40.4,2.31,0.77,0.0,4.62,0.77,1.15,0.0,0.0,0.0,0.0,36.2,2.31,4.23,3.85,36.9,0.77,1.15,0.0,35.8,0.38,0.38,1.54,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,1.54,1.15,0.38,0.0,0.38,1.54,25.0,1.15,18.1,5.0,27.7,6.54,7.69,3.85,2.31,0.0,0.0,2.31,1.92,3.46,0.0,0.0,59.2,3.08,15.0,35.0,15.0,1.54,57.3,1.92,3.46,55.6,2.31,1.15,46.5,342.7,150.8,6.92,1.54,0.38,1.54,1.54,40.0,36.2,90.4,0.77,0.38,0.0,0.0,1.54,3.46,0.0,1.15,1.54,0.0,0.0,0.0,13.5,0.0,0.38,0.0
1705,1706,Antonio Raillo,ESP,DF,Mallorca,La Liga,31,1991,7,7,630,7.0,0.14,0.14,0.14,100.0,1.0,1.0,12.4,0.0,0.0,0.0,27.7,32.3,85.8,640.3,180.0,5.29,5.57,94.9,16.0,17.1,93.3,5.71,8.29,69.0,0.0,0.0,0.57,0.0,0.0,0.71,32.3,30.1,2.14,1.86,0.0,3.57,0.71,0.0,0.0,0.0,0.0,0.0,23.1,3.71,5.43,6.57,22.0,2.43,0.14,0.29,27.7,0.0,0.29,0.43,0.57,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.71,0.86,1.14,0.57,0.0,0.43,1.0,42.9,0.57,10.1,3.14,31.0,6.57,3.43,0.14,1.71,1.14,0.0,0.57,0.86,2.57,3.71,0.0,40.6,9.57,25.6,16.4,1.0,0.29,38.4,0.0,0.0,0.0,0.0,0.0,21.0,161.9,75.4,1.29,0.14,0.0,0.0,0.0,22.3,21.9,98.1,0.0,0.29,0.0,0.0,1.29,0.57,0.0,0.0,0.86,0.0,0.0,0.0,8.0,1.57,1.71,47.8
